[2026-08-08 03:05:56] [ep 104] terminal_score=0.1793
[2026-08-08 03:11:59] [ep 105] terminal_score=0.6036
[2026-08-08 03:11:59] [ep 106] terminal_score=0.1793
[2026-08-08 03:11:59] [ep 107] terminal_score=0.1793
[2026-08-08 03:11:59] [ep 108] terminal_score=0.1793
[2026-08-08 03:18:02] [ep 109] terminal_score=0.5396
[2026-08-08 03:18:03] [ep 110] terminal_score=0.1793
[2026-08-08 03:18:03] [ep 111] terminal_score=0.1793
[2026-08-08 03:18:03] [ep 112] terminal_score=0.1793
[2026-08-08 03:21:42] [ep 113] terminal_score=0.6301
[2026-08-08 03:21:42] [ep 114] terminal_score=0.1793
[2026-08-08 03:21:43] [ep 115] terminal_score=0.1793
[2026-08-08 03:21:43] [ep 116] terminal_score=0.1793
[2026-08-08 03:21:43] [ep 117] terminal_score=0.1793
[2026-08-08 03:21:43] [ep 118] terminal_score=0.1793
[2026-08-08 03:21:43] [ep 119] terminal_score=0.1793
[2026-08-08 03:21:44] [ep 120] terminal_score=0.1793
[2026-08-08 03:21:44] [ep 121] terminal_score=0.1793
[2026-08-08 03:21:44] [ep 122] terminal_score=0.1793
[2026-08-08 03:21:44] [ep 123] terminal_score=0.1793
[2026-08-08 03:21:44] [ep 124] terminal_score=0.1793
[2026-08-08 03:21:44] [ep 125] terminal_score=0.1793
[2026-08-08 03:21:45] [ep 126] terminal_score=0.1793
[2026-08-08 03:21:45] [ep 127] terminal_score=0.1793
[2026-08-08 03:21:45] [ep 128] terminal_score=0.1793
[2026-08-08 03:21:45] [ep 129] terminal_score=0.1793
[2026-08-08 03:21:45] [ep 130] terminal_score=0.1793
[2026-08-08 03:21:45] [ep 131] terminal_score=0.1793
[2026-08-08 03:21:46] [ep 132] terminal_score=0.1793
[2026-08-08 03:21:46] [ep 133] terminal_score=0.1793
[2026-08-08 03:21:46] [ep 134] terminal_score=0.1793
[2026-08-08 03:21:46] [ep 135] terminal_score=0.1793
[2026-08-08 03:21:46] [ep 136] terminal_score=0.1793
[2026-08-08 03:21:46] [ep 137] terminal_score=0.1793
[2026-08-08 03:21:47] [ep 138] terminal_score=0.1793
[2026-08-08 03:21:47] [ep 139] terminal_score=0.1793
[2026-08-08 03:21:47] [ep 140] terminal_score=0.1793
[2026-08-08 03:21:47] [ep 141] terminal_score=0.1793
[2026-08-08 03:21:47] [ep 142] terminal_score=0.1793
[2026-08-08 03:21:48] [ep 143] terminal_score=0.1793
[2026-08-08 03:21:48] [ep 144] terminal_score=0.1793
[2026-08-08 03:21:48] [ep 145] terminal_score=0.1793
[2026-08-08 03:21:48] [ep 146] terminal_score=0.1793
[2026-08-08 03:21:48] [ep 147] terminal_score=0.1793
[2026-08-08 03:21:48] [ep 148] terminal_score=0.1793
[2026-08-08 03:21:49] [ep 149] terminal_score=0.1793
[2026-08-08 03:21:49] [ep 150] terminal_score=0.1793
[2026-08-08 03:21:49] [ep 151] terminal_score=0.1793
[2026-08-08 03:21:49] [ep 152] terminal_score=0.1793
[2026-08-08 03:21:49] [ep 153] terminal_score=0.1793
[2026-08-08 03:21:49] [ep 154] terminal_score=0.1793
[2026-08-08 03:21:50] [ep 155] terminal_score=0.1793
[2026-08-08 03:21:50] [ep 156] terminal_score=0.1793
[2026-08-08 03:21:50] [ep 157] terminal_score=0.1793
[2026-08-08 03:21:50] [ep 158] terminal_score=0.1793
[2026-08-08 03:21:50] [ep 159] terminal_score=0.1793
[2026-08-08 03:21:50] [ep 160] terminal_score=0.1793
[2026-08-08 03:21:51] [ep 161] terminal_score=0.1793
[2026-08-08 03:21:51] [ep 162] terminal_score=0.1793
[2026-08-08 03:21:51] [ep 163] terminal_score=0.1793
[2026-08-08 03:21:51] [ep 164] terminal_score=0.1793
[2026-08-08 03:21:51] [ep 165] terminal_score=0.1793
[2026-08-08 03:21:51] [ep 166] terminal_score=0.1793
[2026-08-08 03:21:52] [ep 167] terminal_score=0.1793
[2026-08-08 03:21:52] [ep 168] terminal_score=0.1793
[2026-08-08 03:21:52] [ep 169] terminal_score=0.1793
[2026-08-08 03:21:52] [ep 170] terminal_score=0.1793
[2026-08-08 03:21:52] [ep 171] terminal_score=0.1793
[2026-08-08 03:21:52] [ep 172] terminal_score=0.1793
[2026-08-08 03:21:53] [ep 173] terminal_score=0.1793
[2026-08-08 03:21:53] [ep 174] terminal_score=0.1793
[2026-08-08 03:21:53] [ep 175] terminal_score=0.1793
[2026-08-08 03:21:53] [ep 176] terminal_score=0.1793
[2026-08-08 03:21:54] [ep 177] terminal_score=0.1793
[2026-08-08 03:21:54] [ep 178] terminal_score=0.1793
[2026-08-08 03:21:54] [ep 179] terminal_score=0.1793
[2026-08-08 03:21:54] [ep 180] terminal_score=0.1793
[2026-08-08 03:21:54] [ep 181] terminal_score=0.1793
[2026-08-08 03:21:54] [ep 182] terminal_score=0.1793
[2026-08-08 03:21:54] [ep 183] terminal_score=0.1793
[2026-08-08 03:21:55] [ep 184] terminal_score=0.1793
[2026-08-08 03:21:55] [ep 185] terminal_score=0.1793
[2026-08-08 03:21:55] [ep 186] terminal_score=0.1793
[2026-08-08 03:21:55] [ep 187] terminal_score=0.1793
[2026-08-08 03:21:55] [ep 188] terminal_score=0.1793
[2026-08-08 03:21:55] [ep 189] terminal_score=0.1793
[2026-08-08 03:21:56] [ep 190] terminal_score=0.1793
[2026-08-08 03:21:56] [ep 191] terminal_score=0.1793
[2026-08-08 03:21:56] [ep 192] terminal_score=0.1793
[2026-08-08 03:21:56] [ep 193] terminal_score=0.1793
[2026-08-08 03:21:56] [ep 194] terminal_score=0.1793
[2026-08-08 03:21:56] [ep 195] terminal_score=0.1793
[2026-08-08 03:21:57] [ep 196] terminal_score=0.1793
[2026-08-08 03:21:57] [ep 197] terminal_score=0.1793
[2026-08-08 03:21:57] [ep 198] terminal_score=0.1793
[2026-08-08 03:21:57] [ep 199] terminal_score=0.1793
[2026-08-08 03:21:57] [ep 200] terminal_score=0.1793
[2026-08-08 03:21:58] [ep 201] terminal_score=0.1793
[2026-08-08 03:21:58] [ep 202] terminal_score=0.1793
[2026-08-08 03:21:58] [ep 203] terminal_score=0.1793
[2026-08-08 03:21:58] [ep 204] terminal_score=0.1793
