scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
bn_s4_focal,0,4,4,0.9674511591940513,1.0
bn_s4_focal,0,6,6,0.9438953968870569,0.9894024084384704
bn_s4_focal,1,4,6,0.99684092610864,0.9997158121232518
bn_s4_focal,1,6,7,0.9769832456629589,0.9999390485478316
bn_s4_focal,2,4,4,0.9872240005701112,0.9997057323708187
bn_s4_focal,2,6,5,0.9947149219130409,0.999533178470946
bn_s4_focal,3,4,5,0.9964865915188963,0.9996854782784386
bn_s4_focal,3,6,5,0.9974647532887425,0.999695542266286
bn_s4_focal,4,4,4,0.9142360009079021,0.9994421296427496
bn_s4_focal,4,6,5,0.8682609078235004,0.9959923916350789
