scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
bn_s0_baseline,0,4,4,0.8500488111315231,0.9519799104181809
bn_s0_baseline,0,6,4,0.8332756837532314,0.8662839828332739
bn_s0_baseline,1,4,4,0.8277183735927082,0.8071626355421766
bn_s0_baseline,1,6,5,0.8216870997032195,0.8767932179105516
bn_s0_baseline,2,4,4,0.8054938401313108,0.9357941818797267
bn_s0_baseline,2,6,6,0.7918632625208158,0.8373560902286444
bn_s0_baseline,3,4,5,0.833536982597887,0.8463377842483385
bn_s0_baseline,3,6,6,0.8436480741711425,0.9736819092059177
bn_s0_baseline,4,4,4,0.7685961057092411,0.9209481556512941
bn_s0_baseline,4,6,6,0.8087656289272359,0.8725302421134712
