scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
bn_s1_enc_param,0,4,4,0.9528386027861739,0.9988436880423963
bn_s1_enc_param,0,6,6,0.9977791624210618,0.9996750674697065
bn_s1_enc_param,1,4,6,0.992733646191909,0.9999492386523644
bn_s1_enc_param,1,6,6,0.932491755544896,0.9996244164741706
bn_s1_enc_param,2,4,4,0.975640771280342,0.9999695400385015
bn_s1_enc_param,2,6,6,0.9961472302320893,1.0
bn_s1_enc_param,3,4,4,0.9979538341596043,0.9998173032893517
bn_s1_enc_param,3,6,6,0.9962470421823265,0.9996144786030086
bn_s1_enc_param,4,4,4,0.951551003317972,1.0
bn_s1_enc_param,4,6,6,0.9915858037406712,0.9999797143784486
